Questionnaire,Question_R,LongWording,Question_OneWord
impulsivity,impuls_Q1,I plan tasks carefully.,PlanCarefully
impulsivity,impuls_Q2,I do things without thinking.,Impulse
impulsivity,impuls_Q3,I make-up my mind quickly.,QuickDecision
impulsivity,impuls_Q4,I am happy-go-lucky.,HappyGoLucky
impulsivity,impuls_Q5,"I donêt ""pay attention"".",NoAttention
impulsivity,impuls_Q6,"I have ""racing"" thoughts.",RacingThoughts
impulsivity,impuls_Q7,I plan trips well ahead of time.,PlanAheadTrips
impulsivity,impuls_Q8,I am self controlled.,SelfControl
impulsivity,impuls_Q9,I concentrate easily.,Concentrate
impulsivity,impuls_Q10,I save regularly.,Savings
impulsivity,impuls_Q11,"I ""squirm"" at plays or lectures.",Squirm
impulsivity,impuls_Q12,I am a careful thinker.,CarefulThink
impulsivity,impuls_Q13,I plan for job security.,JobSecurity
impulsivity,impuls_Q14,I say things without thinking.,TalkRash
impulsivity,impuls_Q15,I like to think about complex problems.,LikeComplex
impulsivity,impuls_Q16,I change jobs.,ChangeJob
impulsivity,impuls_Q17,"I act ""on impulse"".",ActImpulse
impulsivity,impuls_Q18,I get easily bored when solving thought problems.,Bored
impulsivity,impuls_Q19,I act on the spur of the moment.,SpurMoment
impulsivity,impuls_Q20,I am a steady thinker.,ThinkSteady
impulsivity,impuls_Q21,I change residences.,Moving
impulsivity,impuls_Q22,I buy things on impulse.,BuyImpulse
impulsivity,impuls_Q23,I can only think about one thing at a time.,NotMultiTask
impulsivity,impuls_Q24,I change hobbies.,ChangeHobbies
impulsivity,impuls_Q25,I spend or charge more than I earn.,SpendingMoney
impulsivity,impuls_Q26,I often have extraneous thoughts when thinking.,ExtranThoughts
impulsivity,impuls_Q27,I am more interested in the present than the future.,PresentAware
impulsivity,impuls_Q28,I am restless at the theater or lectures.,RestlessTheatre
impulsivity,impuls_Q29,I like puzzles.,LikePuzzles
impulsivity,impuls_Q30,I am future oriented.,FutureOrient
BDI,BDeprI_Q1,Sadness,Sadness
BDI,BDeprI_Q2,Pessimism,Pessimism
BDI,BDeprI_Q3,Past Failure,PastFailure
BDI,BDeprI_Q4,Loss of Pleasure,LossPleasure
BDI,BDeprI_Q5,Guilty Feelings,Guilty
BDI,BDeprI_Q6,Punishment Feelings,Punished
BDI,BDeprI_Q7,Self-Dislike,Self-Dislike
BDI,BDeprI_Q8,Self-Criticalness,Self-Criticalness
BDI,BDeprI_Q9,Suicidal Thoughts or Wishes,Suicidal
BDI,BDeprI_Q10,Crying,Crying
BDI,BDeprI_Q11,Agitation,Agitation
BDI,BDeprI_Q12,Loss of Interest,LossInterest
BDI,BDeprI_Q13,Indecisiveness,Indecisiveness
BDI,BDeprI_Q14,Worthlessness,Worthlessness
BDI,BDeprI_Q15,Loss of Energy,LossEnergy
BDI,BDeprI_Q16,Changes in Sleeping Pattern,ChangeSleep
BDI,BDeprI_Q17,Irritability,Irritability
BDI,BDeprI_Q18,Changes in Appetite,ChangesAppetite
BDI,BDeprI_Q19,Concentration Difficulty,LossConcentrate
BDI,BDeprI_Q20,Tiredness or Fatigue,Tiredness/Fatigue
BDI,BDeprI_Q21,Loss of Interest in Sex,LossInterestSex
fatigue,fatigue_Q1,I am bothered by fatigue,Fatigue
fatigue,fatigue_Q2,I get tired very quickly,Tired
fatigue,fatigue_Q3,I donêt do much during the day,LowActivity
fatigue,fatigue_Q4,I have enough energy for everyday life,EnoughEnergy
fatigue,fatigue_Q5,"Physically, I feel exhausted",ExhaustionPhysical
fatigue,fatigue_Q6,I have problems to start things,InitiationProblems
fatigue,fatigue_Q7,I have problems to think clearly,ThinkingDifficulty
fatigue,fatigue_Q8,I feel no desire to do anything,LossInterest
fatigue,fatigue_Q9,"Mentally, I feel exhausted",ExhaustionMental
fatigue,fatigue_Q10,"When I am doing something, I can concentrate quite well",ConcentrateWell
Mindfulness,Mindful_Q1,1. Iêm good at finding words to describe my feelings.,Describe_Feelings
Mindfulness,Mindful_Q2,"2. I can easily put my beliefs, opinions, and expectations into words.",Describe_Beliefs
Mindfulness,Mindful_Q3,3. I watch my feelings without getting carried away by them.,Nonreact_Feelings
Mindfulness,Mindful_Q4,4. I tell myself I shouldnêt be feeling the way Iêm feeling.,Nonjudging_Feeling_Inv
Mindfulness,Mindful_Q5,5. Itês hard for me to find the words to describe what Iêm thinking.,Describe_Thinking_Inv
Mindfulness,Mindful_Q6,"6. I pay attention to physical experiences, such as the wind in my hair or sun on my face.",Observing_Physical
Mindfulness,Mindful_Q7,7. I make judgments about whether my thoughts are good or bad.,Nonjudging_Thoughts_Inv
Mindfulness,Mindful_Q8,8. I find it difficult to stay focused on whatês happening in the present moment,Awareness_NotPresent
Mindfulness,Mindful_Q9,"9. When I have distressing thoughts or images, I donêt let myself be carried away by them.",Nonreact_Thoughts
Mindfulness,Mindful_Q10,"10. Generally, I pay attention to sounds, such as clocks ticking, birds chirping, or cars passing.",Observing_Sounds
Mindfulness,Mindful_Q11,"11. When I feel something in my body, itês hard for me to find the right words to describe it.",Describe_Body_Inv
Mindfulness,Mindful_Q12,12. It seems I am –running on automatic” without much awareness of what Iêm doing.,Awareness_Autopilot
Mindfulness,Mindful_Q13,"13. When I have distressing thoughts or images, I feel calm soon after.",Nonreact_EmoRecover
Mindfulness,Mindful_Q14,14. I tell myself that I shouldnêt be thinking the way Iêm thinking.,Nonjudging_Shoulds
Mindfulness,Mindful_Q15,15. I notice the smells and aromas of things.,Observing_Smells
Mindfulness,Mindful_Q16,"16. Even when Iêm feeling terribly upset, I can find a way to put it into words.",Describe_Upset
Mindfulness,Mindful_Q17,17. I rush through activities without being really attentive to them.,Awareness_Rushing
Mindfulness,Mindful_Q18,18. Usually when I have distressing thoughts or images I can just notice them without reacting.,Nonreact_Images
Mindfulness,Mindful_Q19,19. I think some of my emotions are bad or inappropriate and I shouldnêt feel them.,Nonjudging_Emotions_Inv
Mindfulness,Mindful_Q20,"20. I notice visual elements in art or nature, such as colors, shapes, textures, or patterns of light and shadow.",Observing_visual
Mindfulness,Mindful_Q21,"21. When I have distressing thoughts or images, I just notice them and let them go.",Nonreact_LettingGo
Mindfulness,Mindful_Q22,22. I do jobs or tasks automatically without being aware of what Iêm doing.,Awareness_Autopilot2
Mindfulness,Mindful_Q23,23. I find myself doing things without paying attention.,Awareness_NoAttention
Mindfulness,Mindful_Q24,24. I disapprove of myself when I have illogical ideas.,Nonjudging_Illogical
IDS,IDeprS_Q1,Falling Asleep,SleepStartProblems
IDS,IDeprS_Q2,Sleep During the Night:,SleepNightProblems
IDS,IDeprS_Q3,Waking Up Too Early:,SleepWakeTooEarly
IDS,IDeprS_Q4,Sleeping Too Much:,SleepTooMuch
IDS,IDeprS_Q5,Feeling Sad:,Sadness_IDS
IDS,IDeprS_Q6,Feeling Irritable:,Irritability_IDS
IDS,IDeprS_Q7,Feeling Anxious or Tense:,Anxious/Tense
IDS,IDeprS_Q8,Response of Your Mood to Good or Desired Events:,MoodSensitivity
IDS,IDeprS_Q9,Mood in Relation to the Time of Day:,MoodDay
IDS,IDeprS_Q10,The Quality of Your Mood,LowMood
IDS,IDeprS_Q11,,
IDS,IDeprS_Q12,,
IDS,IDeprS_Q13,,
IDS,IDeprS_Q14,,
IDS,IDeprS_Q15,Concentration/Decision Making:,ConcentrateDecideDifficult
IDS,IDeprS_Q16,View of Myself:,SelfworthLow
IDS,IDeprS_Q17,View of My Future:,FuturePessimism
IDS,IDeprS_Q18,Thoughts of Death or Suicide:,Suicidal_IDS
IDS,IDeprS_Q19,General Interest:,GeneralInterestLow
IDS,IDeprS_Q20,Energy Level:,LowEnergy_IDS
IDS,IDeprS_Q21,Capacity for Pleasure or Enjoyment (excluding sex):,LossEnjoyment
IDS,IDeprS_Q22,"Interest in Sex (Please Rate Interest, not Activity):",LossInterestSex_IDS
IDS,IDeprS_Q23,Feeling slowed down:,SlowedDown
IDS,IDeprS_Q24,Feeling restless:,Restlesness
IDS,IDeprS_Q25,Aches and pains:,Aches
IDS,IDeprS_Q26,Other bodily symptoms:,BodilySymptoms
IDS,IDeprS_Q27,Panic/Phobic symptoms:,Panic/Phobia
IDS,IDeprS_Q28,Constipation/diarrhea:,DigestionProblem
IDS,IDeprS_Q29,Interpersonal Sensitivity:,InterpersonalSensitivity
IDS,IDeprS_Q30,Leaden Paralysis/Physical Energy:,LowEnergy/Paralysis
IDS,IDeprS_Q11Q12,,AppetiteChange
IDS,IDeprS_Q13Q14,,WeightChange
socialAnxiety,socialAnx_Q1,FEAR: Telephoning in public (speaking on the telephone in a public place):,Telephone
socialAnxiety,socialAnx_Q2,FEAR: Participating in small groups (having a discussion with a few others):,SmallGroup
socialAnxiety,socialAnx_Q3,FEAR: Eating in public places (do you tremble or feel awkward handling food?):,Eating
socialAnxiety,socialAnx_Q4,FEAR: Drinking with others in public places (refers to any beverage including alcohol):,Drinking
socialAnxiety,socialAnx_Q5,"FEAR: Talking to people in authority (for example, a boss or teacher):",Authority
socialAnxiety,socialAnx_Q6,"FEAR: Acting, performing, or giving a talk in front of an audience (refers to a large audience):",Performing
socialAnxiety,socialAnx_Q7,FEAR: Going to a party (an average party to which you may be invited; assume you know some but not all people at the party):,Party
socialAnxiety,socialAnx_Q8,FEAR: Working while being observed (any type of work you might do including school work or housework):,Working
socialAnxiety,socialAnx_Q9,"FEAR: Writing while being observed (for example, signing a check in a bank):",Writing
socialAnxiety,socialAnx_Q10,FEAR: Calling someone you don't know very well:,Calling
socialAnxiety,socialAnx_Q11,FEAR: Talking with people you don't know very well:,Talking
socialAnxiety,socialAnx_Q12,FEAR: Meeting strangers (assume others are of average importance to you):,Strangers
socialAnxiety,socialAnx_Q13,"FEAR: Urinating in a public bathroom (assume that others are sometimes present, as might normally be expected):",Urinating
socialAnxiety,socialAnx_Q14,"FEAR: Entering a room when others are already seated (refers to a small group, and nobody has to move seats for you):",EnterRoom
socialAnxiety,socialAnx_Q15,FEAR: Being the center of attention (telling a story to a group of people):,CentreAttention
socialAnxiety,socialAnx_Q16,FEARY: Speaking up at a meeting (speaking from your seat in a small meeting or standing up in place at a large meeting):,SpeakingUp
socialAnxiety,socialAnx_Q17,FEAR: Taking a written test:,Test
socialAnxiety,socialAnx_Q18,FEAR: Expressing appropriate disagreement or disapproval to people you don't know very well:,Disagreement
socialAnxiety,socialAnx_Q19,FEAR: Looking at people you don't know very well in the eyes (refers to appropriate eye contact):,LookEyes
socialAnxiety,socialAnx_Q20,FEAR: Giving a report to a group (refers to an oral report to a small group):,ReportGroup
socialAnxiety,socialAnx_Q21,FEAR: Trying to pick up someone (refers to a single person attempting to initiate a relationship with a stranger):,Pickup
socialAnxiety,socialAnx_Q22,FEAR: Returning goods to a store where returns are normally accepted:,ReturningGood
socialAnxiety,socialAnx_Q23,FEAR: Giving an average party:,PartyOrganizing
socialAnxiety,socialAnx_Q24,FEAR: Resisting a high pressure salesperson (avoidance refers to listening to the salesperson for too long):,Salesperson
ocd,ocd_Q1,1. I have saved up so many things that they get in the way.,Clutter
ocd,ocd_Q2,2. I check things more often than necessary.,Checking
ocd,ocd_Q3,3. I get upset if objects are not arranged properly.,Order
ocd,ocd_Q4,4. I feel compelled to count while I am doing things.,Counting
ocd,ocd_Q5,5. I find it difficult to touch an object when I know it has been touched by strangers or certain people.,TouchingObjects
ocd,ocd_Q6,6. I find it difficult to control my own thoughts.,NoControlThoughts
ocd,ocd_Q7,7. I collect things I donêt need.,Collecting
ocd,ocd_Q8,"8. I repeatedly check doors, windows, drawers, etc.",CheckingDoors
ocd,ocd_Q9,9. I get upset if others change the way I have arranged things.,UpsetRearrange
ocd,ocd_Q10,10. I feel I have to repeat certain numbers.,RepeatNumber
ocd,ocd_Q11,11. I sometimes have to wash or clean myself simply because I feel contaminated.,Washing
ocd,ocd_Q12,12. I am upset by unpleasant thoughts that come into my mind against my will.,IntrusiveThoughts
ocd,ocd_Q13,13. I avoid throwing things away because I am afraid I might need them later.,KeepingThings
ocd,ocd_Q14,14. I repeatedly check gas and water taps and light switches after turning them off.,CheckUtilities
ocd,ocd_Q15,15. I need things to be arranged in a particular order.,OrderThings
ocd,ocd_Q16,16. I feel that there are good and bad numbers.,SuperstitionNumbers
ocd,ocd_Q17,17. I wash my hands more often and longer than necessary.,WashingHands
ocd,ocd_Q18,18. I frequently get nasty thoughts and have difficulty in getting rid of them.,NastyThoughts
Alexithymia,Alexi_Q1,1. I am often confused about what emotion I am feeling,Identify_Feelings
Alexithymia,Alexi_Q2,2. It is difficult for me to find the right words for my feelings,Describe_Feelings
Alexithymia,Alexi_Q3,3. I have physical sensations that even doctors donêt understand,Identify_Physical
Alexithymia,Alexi_Q4,4. I am able to describe my feelings easily,Describe_Feelings_Inv
Alexithymia,Alexi_Q5,5. I prefer to analyze problems rather than just describe them,ExternalOrient_Problems
Alexithymia,Alexi_Q6,"6. When I am upset, I donêt know if I am sad, frightened, or angry",Identify_Upset
Alexithymia,Alexi_Q7,7. I am often puzzled by sensations in my body,Identify_Body
Alexithymia,Alexi_Q8,8. I prefer just to let things happen rather than to understand why they turned out that way,ExternalOrient_Passive
Alexithymia,Alexi_Q9,9. I have feelings that I canêt quite identify ,Identify_Feelings
Alexithymia,Alexi_Q10,10. Being in touch with emotions is essential,ExternalOrient_Emotions_Inv
Alexithymia,Alexi_Q11,11. I find it hard to describe how I feel about people ,Describe_People
Alexithymia,Alexi_Q12,12. People tell me to describe my feelings more,Describe_ToldTo
Alexithymia,Alexi_Q13,13. I donêt know whatês going on inside me ,Identify_Inside
Alexithymia,Alexi_Q14,14. I often donêt know why I am angry,Identify_Anger
Alexithymia,Alexi_Q15,15. I prefer talking to people about their daily activities rather than their feelings,ExternalOrient_DailyActivities
Alexithymia,Alexi_Q16,16. I prefer to watch –light” entertainment shows rather than psychological dramas,ExternalOrient_TV
Alexithymia,Alexi_Q17,"17. It is difficult for me to reveal my innermost feelings, even to close friends",Describe_InnermostFeelings
Alexithymia,Alexi_Q18,"18. I can feel close to someone, even in moments of silence ",ExternalOrient_Social
Alexithymia,Alexi_Q19,19. I find examination of my feelings useful in solving personal problems,ExternalOrient_Feelings_Inv
Alexithymia,Alexi_Q20,20. Looking for hidden meanings in movies or plays distracts from their enjoyment,ExternalOrient_MovieStory
STAI,anx_Q1,I feel pleasant,Pleasant
STAI,anx_Q2,I feel nervous and restless,Nervous/Restless
STAI,anx_Q3,I feel satisfied with myself,Satisfied
STAI,anx_Q4,I wish I could be as happy as others seem to be,Unhappy
STAI,anx_Q5,I feel like a failure,Failure
STAI,anx_Q6,I feel rested,Rested
STAI,anx_Q7,"I am 'cool, calm and collected'",Cool/Calm/collected
STAI,anx_Q8,I feel that the difficulties are piling up so that I cannot overcome them,Overwhelmed
STAI,anx_Q9,I worry too much over something that doesnêt really matter,Worry
STAI,anx_Q10,I am happy,Happy
STAI,anx_Q11,I have disturbing thoughts,DisturbingThoughts
STAI,anx_Q12,I lack self-confidence,LowSelfConfidence
STAI,anx_Q13,I feel secure,Secure
STAI,anx_Q14,I make decisions easily,DecisionEasily
STAI,anx_Q15,I feel inadequate,Inadequate
STAI,anx_Q16,I am content,Content
STAI,anx_Q17,Some unimportant thoughts run through my mind and bother me,BotheredThinking
STAI,anx_Q18,I take disappointments so keenly that I canêt put them out of my mind,DisappointmentSensitivity
STAI,anx_Q19,I am a steady person,Steady
STAI,anx_Q20,I get in a state of tension or turmoil as I think over recent concerns and interests,Tension/Turmoil
Schizotypy,schizo_Q1,1. When in the dark do you often see shapes and forms even though there is nothing there?,Unusual_Visual
Schizotypy,schizo_Q2,2. Are your thoughts sometimes so strong that you can almost hear them?,Unusual_Thoughts
Schizotypy,schizo_Q3,"3. Have you ever thought that you had special, almost magical powers?",Unusual_Magic
Schizotypy,schizo_Q4,"4. Have you sometimes sensed an evil presence around you, even though you could not see it?",Unusual_EvilPresence
Schizotypy,schizo_Q5,5. Do you think that you could learn to read otherÍs minds if you wanted to?,Unusual_Mindreading
Schizotypy,schizo_Q6,6. When you look in the mirror does your face sometimes seem quite different from usual?,Unusual_Mirror
Schizotypy,schizo_Q7,7. Do ideas and insights sometimes come to you so fast that you cannot express them all?,Unusual_Ideas
Schizotypy,schizo_Q8,8. Can some people make you aware of them just by thinking about you?,Unusual_Social
Schizotypy,schizo_Q9,9. Does a passing thought ever seem so real it frightens you?,Unusual_Thoughts2
Schizotypy,schizo_Q10,10. Do you feel that your accidents are caused by mysterious forces?,Unusual_Accidents
Schizotypy,schizo_Q11,11. Do you ever have a sense of vague danger or sudden dread for reasons that you do not understand?,Unusual_Dread
Schizotypy,schizo_Q12,12. Does your sense of smell sometimes become unusually strong?,Unusual_Smell
Schizotypy,schizo_Q13,13. Are you easily confused if too much happens at the same time?,CogDisorg_Overwhelm
Schizotypy,schizo_Q14,14. Do you frequently have difficulty in starting to do things?,CogDisorg_Starting
Schizotypy,schizo_Q15,15. Are you a person whose mood goes up and down easily?,CogDisorg_Moods
Schizotypy,schizo_Q16,16. Do you dread going into a room by yourself where other people have already gathered and are talking?,CogDisorg_Social
Schizotypy,schizo_Q17,17. Do you find it difficult to keep interested in the same thing for a long time?,CogDisorg_Interest
Schizotypy,schizo_Q18,18. Do you often have difficulties in controlling your thoughts?,CogDisorg_ControlThoughts
Schizotypy,schizo_Q19,19. Are you easily distracted from work by daydreams?,CogDisorg_Daydreams
Schizotypy,schizo_Q20,20. Do you ever feel that your speech is difficult to understand because the words are all mixed up and donÍt make sense?,CogDisorg_Speech
Schizotypy,schizo_Q21,21. Are you easily distracted when you read or talk to someone?,CogDisorg_Distraction
Schizotypy,schizo_Q22,22. Is it hard for you to make decisions?,CogDisorg_Decisions
Schizotypy,schizo_Q23,"23. When in a crowded room, do you often have difficulty in following a conversation?",CogDisorg_Conversations
Schizotypy,schizo_Q24,24. Are there very few things that you have ever enjoyed doing?,Anhedonia_Things
Schizotypy,schizo_Q25,25. Are you much too independent to get involved with other people?,Anhedonia_Social
Schizotypy,schizo_Q26,26. Do you love having your back massaged?,Anhedonia_BackMassage
Schizotypy,schizo_Q27,27. Do you find the bright lights of a city exciting to look at?,Anhedonia_Citylights
Schizotypy,schizo_Q28,28. Do you feel very close to your friends?,Anhedonia_Friends
Schizotypy,schizo_Q29,29. Has dancing or the idea of it always seemed dull to you?,Anhedonia_Dancing
Schizotypy,schizo_Q30,30. Do you like mixing with people?,Anhedonia_Social2
Schizotypy,schizo_Q31,31. Is trying new foods something you have always enjoyed?,Anhedonia_Food
Schizotypy,schizo_Q32,32. Have you often felt uncomfortable when your friends touch you?,Anhedonia_Touch
Schizotypy,schizo_Q33,33. Do you prefer watching television to going out with people?,Anhedonia_TV
Schizotypy,schizo_Q34,34. Do you consider yourself to be pretty much an average sort of person?,Nonconformity_Normal
Schizotypy,schizo_Q35,35. Would you like other people to be afraid of you?,Nonconformity_Authority
Schizotypy,schizo_Q36,36. Do you often feel the impulse to spend money which you know you canÍt afford?,Nonconformity_ImpulseSpend
Schizotypy,schizo_Q37,"37. Are you usually in an average kind of mood, not too high and not too low?",Nonconformity_Mood
Schizotypy,schizo_Q38,38. Do you at times have an urge to do something harmful or shocking?,Nonconformity_Shocking
Schizotypy,schizo_Q39,39. Do you stop to think things over before doing anything?,Nonconformity_Careful
Schizotypy,schizo_Q40,40. Do you often overindulge in alcohol or food?,Nonconformity_Overindulge
Schizotypy,schizo_Q41,41. Do you ever have the urge to break or smash things?,Nonconformity_Destroy
Schizotypy,schizo_Q42,42. Have you ever felt the urge to injure yourself?,Nonconformity_Selfharm
Schizotypy,schizo_Q43,43. Do you often feel like doing the opposite of what other people suggest even though you know they are right?,Nonconformity_Confrontational
